texto,etiqueta
"amo lo que hacen","POS"
"Qué excelente servicio, son los mejores","POS"
"sin problema","NEU"
"Me encanta este producto con todas mis fuerzas ❤️❤️❤️!!!!","POS"
"El peor servicio al cliente que he visto","NEG"
"No cumplen lo que prometen","NEG"
"La empresa anunció sus resultados trimestrales","NEU"
"El producto llegó en la fecha estimada","NEU"
"Normal","NEU"
"Todo bien","NEU"
"El servicio fue normal","NEU"
"Funcionó como se esperaba","NEU"
"Está bien, nada especial","NEU"
"Todo correcto","NEU"
"Me gustó el producto","POS"
"Buen servicio","POS"
"Sin sorpresas","NEU"
"Sin complicaciones","NEU"
"No hay problema","NEU"
"Ok ok","NEU"
"Listo","NEU"
"Todo en orden","NEU"
"amo","POS"
"ame","POS"
"Fresh","NEU"
"sí, normal","NEU"
"Ok","NEU"
"Bien","NEU"
"👍","NEU"
"Increíble","POS"
"De lo mejor que he visto","POS"
"Me encanta","POS"
"Me gusta","POS"
"Like","POS"
"Me gusta mucho","POS"
"Sí me gusta","POS"
"Like, muy bueno","POS"
"Buen producto","POS"
"La atención fue buena","POS"
"Todo ok","NEU"
"Estuvo normal","NEU"
"Es muy bueno","POS"
"Bueno","POS"
"Qué bueno","POS"
"Está bueno","POS"
"Qué buena","POS"
"Buenazo","POS"
"Buenísimo","POS"
"Bien ahí","POS"
"Bien","POS"
"Más o menos","NEU"
"Malo","NEG"
"Malísimo","NEG"
"Malazo","NEG"
"Pésimo","NEG"
"Mal producto","NEG"
"Mala atención","NEG"